meanEntropy,medianEntropy,stdsEntropy,iqrsEntropy,rangeEntropy,percentile10Entropy,percentile25Entropy,percentile75Entropy,percentile90Entropy,kurtosisEntropy,skewnessEntropy,autoCorrEntropy,y_true,y_conformal
2.67209975,2.6705,0.0271969032232991,0.0351000000000003,0.1356000000000001,2.63749,2.6552,2.6842,2.70881,-0.1812968862849664,0.0695047839746307,0.9974749935287978,-1.0,1.0
2.673567,2.6748,0.0354172700952515,0.0527999999999999,0.1665999999999998,2.6229600000000004,2.6507,2.6968,2.71841,-0.3679691905447164,-0.4332971254694349,0.998557514918324,1.0,-1.0
2.64771985,2.6521,0.0434153370478394,0.0597499999999997,0.2166000000000001,2.58998,2.6168,2.6698,2.7090300000000003,-0.2957232686723352,-0.2050612386155272,0.9987916123512076,-1.0,-1.0
2.6700612,2.6722,0.0290964211641225,0.033525,0.1960000000000001,2.63629,2.6541,2.68443,2.70461,2.2644009334189263,-0.7858868861196935,0.9964762562770936,-1.0,1.0
2.67001185,2.66935,0.0336564909724335,0.0439749999999996,0.1928999999999998,2.6277600000000003,2.649875,2.6883,2.71431,0.1475064165415998,-0.325575835364312,0.997358245386484,1.0,-1.0
2.70855075,2.70975,0.0234872399280439,0.0341249999999999,0.1405000000000003,2.67889,2.6914,2.72053,2.7386,-0.1988540924755728,-0.0863290277494274,0.9942556532203392,1.0,1.0
2.7059011,2.7042,0.0197755333376877,0.0251000000000001,0.1077999999999996,2.68098,2.693,2.7147,2.73491,-0.1798312422059789,0.3002568601053055,0.995229180976375,1.0,1.0
2.65694485,2.6556,0.0325832060036685,0.0469249999999998,0.1654,2.61728,2.632775,2.6753,2.6998300000000004,-0.5006629781509275,0.070648378880398,0.9973526718212588,-1.0,-1.0
2.66718785,2.6661,0.0227751133340209,0.0251999999999998,0.1587,2.6384,2.6557,2.67733,2.69681,0.8423468354781738,-0.0569109363667442,0.997225533016342,1.0,1.0
2.65249595,2.6496,0.0309521813221217,0.0352999999999998,0.1793,2.6177,2.6328,2.6649,2.68813,1.2951472042133745,0.7437035769922985,0.9970314158440486,-1.0,-1.0
