meanEntropy,medianEntropy,stdsEntropy,iqrsEntropy,rangeEntropy,percentile10Entropy,percentile25Entropy,percentile75Entropy,percentile90Entropy,kurtosisEntropy,skewnessEntropy,autoCorrEntropy,y_true,y_conformal
2.66111945,2.66205,0.0288871434499415,0.0376250000000002,0.1617999999999999,2.6243,2.644475,2.6776,2.698,0.5803643215155376,-0.6110873463352631,0.9969911858365172,-1.0,1.0
2.65775075,2.6635,0.0320275507873689,0.0448249999999998,0.1814,2.61418,2.635275,2.67623,2.69332,0.0186518234389545,-0.3948321673541651,0.9973343159950788,-1.0,-1.0
2.6926453,2.6937,0.0248323103619055,0.0323999999999999,0.1417000000000001,2.66239,2.6768,2.70603,2.72321,0.2385705388212282,-0.2760923029658822,0.9971517968352064,1.0,1.0
2.66987765,2.66665,0.0362566758746234,0.0529999999999999,0.1848,2.62308,2.6431,2.6891,2.72092,-0.5759363776120949,0.1632082462958433,0.9983157052940588,-1.0,-1.0
2.6579671500000006,2.6569,0.0299337278981001,0.0421749999999998,0.1509,2.61819,2.63865,2.67493,2.6977100000000003,-0.3926816122847896,-0.171382939426521,0.996969045202952,1.0,-1.0
2.69174245,2.687,0.0346822408877728,0.0491000000000001,0.1804000000000001,2.6476,2.6673,2.71153,2.73471,-0.0666988584609038,0.3508485546796413,0.997499544384222,1.0,1.0
2.68433495,2.6839,0.0245354478968185,0.0336250000000002,0.1184999999999996,2.65179,2.668875,2.69883,2.7173,-0.4439649901500488,-0.1445951179044465,0.9976187860494226,1.0,1.0
2.6945358,2.6948,0.0226964807483451,0.0266999999999999,0.1202,2.6632,2.6807,2.7046,2.722,0.124238718730643,0.1456528086070533,0.99660842645079,1.0,1.0
2.62754515,2.6293,0.0354665668831577,0.0521000000000002,0.1617999999999999,2.57717,2.602,2.64903,2.6759,-0.685821480504798,-0.1890502803397573,0.9973358764347228,-1.0,-1.0
2.6678977500000003,2.6683,0.0366318525321543,0.0568499999999998,0.1667,2.6207,2.640275,2.69113,2.7183,-0.7612250673075307,-0.0654297267071098,0.9982652313658006,1.0,-1.0
2.6871037,2.689,0.0265603660801202,0.0364000000000004,0.1336999999999997,2.65066,2.6693,2.7025,2.72081,-0.3727808037311595,-0.2266844322882107,0.9975153184595156,1.0,1.0
2.6828549,2.68215,0.0253335693495804,0.0325000000000001,0.1368,2.6482,2.6677,2.6969,2.71521,-0.1984846567019089,-0.0541194563350635,0.9969752155836358,1.0,1.0
2.67882005,2.67685,0.0337664840188832,0.0421499999999999,0.1735999999999999,2.6352,2.65615,2.69413,2.7202,0.0731812409053209,0.2916910792301447,0.9981968028244004,1.0,1.0
