Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
279,percentile25Entropy > 2.66,0.5017,0.6015225542551983,1.0,1.0,1.0
280,percentile10Entropy <= 2.62,0.2553,0.5717551020408164,-1.0,-1.0,-1.0
281,percentile10Entropy <= 2.62,0.2528,0.5578144853875476,-1.0,-1.0,1.0
282,percentile10Entropy > 2.66,0.2529,0.6487055990367249,1.0,1.0,1.0
283,percentile10Entropy > 2.66,0.2542,0.6404602109300096,1.0,1.0,1.0
284,percentile25Entropy > 2.66,0.4937,0.6069983337300643,1.0,1.0,1.0
285,percentile10Entropy > 2.66,0.2513,0.6290952810339645,1.0,1.0,1.0
286,percentile10Entropy > 2.64,0.4934,0.6167549350024073,1.0,1.0,1.0
287,percentile10Entropy <= 2.62,0.2557,0.5603427755296359,-1.0,-1.0,-1.0
288,percentile10Entropy > 2.66,0.2542,0.6448706099815157,1.0,1.0,1.0
289,skewnessEntropy > 0.20,0.2444,0.5288127173373075,-1.0,-1.0,-1.0
290,percentile10Entropy <= 2.62,0.2397,0.5577235772357724,-1.0,-1.0,-1.0
291,percentile10Entropy <= 2.62,0.2497,0.5566794558772236,-1.0,-1.0,-1.0
292,skewnessEntropy > -0.18 AND percentile25Entropy <= 2.66,0.3836,0.9095384615384615,-1.0,-1.0,-1.0
293,percentile10Entropy > 2.66,0.2473,0.6462087087087087,1.0,1.0,1.0
294,percentile25Entropy > 2.66,0.498,0.6067004504504504,1.0,1.0,1.0
295,percentile10Entropy > 2.64,0.4963,0.60788675429727,1.0,1.0,1.0
296,percentile10Entropy > 2.66,0.2443,0.6321914440255696,1.0,1.0,1.0
297,meanEntropy > 2.68,0.5058,0.5887369504484634,1.0,1.0,1.0
298,percentile25Entropy > 2.66,0.5039,0.6155844155844156,1.0,1.0,1.0
299,percentile10Entropy <= 2.62,0.2524,0.5640345056403451,-1.0,-1.0,-1.0
300,percentile10Entropy > 2.66,0.2396,0.628092976755811,1.0,1.0,1.0
301,percentile10Entropy <= 2.64,0.5012,0.5059849521203831,-1.0,-1.0,-1.0
302,percentile10Entropy > 2.66,0.254,0.6467027027027027,1.0,1.0,1.0
303,percentile10Entropy > 2.64,0.5048,0.6142345757001474,1.0,1.0,1.0
304,percentile10Entropy <= 2.62,0.26,0.5492558469170801,-1.0,-1.0,-1.0
305,percentile10Entropy <= 2.64,0.5049,0.5009352787130565,-1.0,-1.0,1.0
306,percentile25Entropy > 2.66,0.5016,0.6078051927108531,1.0,1.0,-1.0
307,percentile25Entropy <= 2.63,0.2529,0.5451865145494167,-1.0,-1.0,-1.0
308,skewnessEntropy > 0.20,0.2502,0.5359342915811088,-1.0,-1.0,-1.0
309,percentile10Entropy > 2.66,0.2466,0.6544048292774948,1.0,1.0,1.0
310,percentile10Entropy <= 2.62,0.2535,0.5562485562485563,-1.0,-1.0,-1.0
311,percentile10Entropy > 2.64,0.5038,0.6209518445508307,1.0,1.0,1.0
312,percentile10Entropy > 2.64,0.5081,0.6042352941176471,1.0,1.0,1.0
313,percentile10Entropy <= 2.62,0.2484,0.5513301196214961,-1.0,-1.0,-1.0
314,percentile10Entropy > 2.66,0.2425,0.6632593457943925,1.0,1.0,1.0
315,skewnessEntropy > 0.20,0.245,0.5299220702837818,-1.0,-1.0,1.0
316,percentile25Entropy > 2.67,0.2484,0.6299312802239756,1.0,1.0,-1.0
317,percentile25Entropy <= 2.63,0.2537,0.55451197053407,-1.0,-1.0,-1.0
318,percentile10Entropy > 2.66,0.2519,0.65,1.0,1.0,-1.0
319,percentile10Entropy > 2.66,0.2557,0.6462678848474401,1.0,1.0,1.0
320,percentile25Entropy > 2.67,0.2532,0.642331635540464,1.0,1.0,1.0
321,percentile10Entropy > 2.64,0.4997,0.6260400269844839,1.0,1.0,1.0
322,percentile10Entropy > 2.66,0.2515,0.6488817891373801,1.0,1.0,1.0
323,skewnessEntropy > 0.20,0.2543,0.528083848427842,-1.0,-1.0,-1.0
324,skewnessEntropy <= 0.20,0.7539,0.5805474194525806,1.0,1.0,-1.0
325,percentile10Entropy <= 2.62,0.2447,0.5528140622480245,-1.0,-1.0,-1.0
326,skewnessEntropy <= -0.18,0.2519,0.6062539885130823,1.0,1.0,-1.0
327,percentile10Entropy <= 2.62,0.2493,0.5517532741867343,-1.0,-1.0,-1.0
328,percentile75Entropy > 2.71,0.2477,0.6046279102985288,1.0,1.0,1.0
329,percentile10Entropy > 2.66,0.2522,0.649183147033534,1.0,1.0,1.0
330,skewnessEntropy > 0.20,0.2524,0.5258522263904747,-1.0,-1.0,1.0
331,kurtosisEntropy <= -0.36,0.2516,0.5097514340344168,-1.0,-1.0,1.0
332,percentile10Entropy > 2.66,0.2438,0.6445200104629872,1.0,1.0,1.0
333,skewnessEntropy > 0.20,0.244,0.5335035098915124,-1.0,-1.0,-1.0
335,percentile10Entropy > 2.64,0.4936,0.6187711659409773,1.0,1.0,1.0
336,percentile10Entropy <= 2.62,0.252,0.5623151668779045,-1.0,-1.0,-1.0
337,percentile10Entropy > 2.64,0.4981,0.6164004914004914,1.0,1.0,1.0
338,skewnessEntropy <= -0.18,0.2558,0.6085385136661396,1.0,1.0,-1.0
340,percentile10Entropy <= 2.62,0.2508,0.5676555716353111,-1.0,-1.0,-1.0
341,medianEntropy > 2.69,0.2459,0.6190604026845637,1.0,1.0,1.0
342,percentile10Entropy <= 2.62,0.2547,0.5592626728110599,-1.0,-1.0,-1.0
343,percentile10Entropy > 2.66,0.2505,0.6598671726755219,1.0,1.0,-1.0
344,skewnessEntropy <= -0.18,0.2488,0.6171849951907663,1.0,1.0,-1.0
345,percentile10Entropy <= 2.62,0.2493,0.5524886877828055,-1.0,-1.0,-1.0
346,percentile10Entropy <= 2.62,0.2578,0.547891609911607,-1.0,-1.0,-1.0
347,percentile10Entropy <= 2.62,0.2502,0.5597636721708832,-1.0,-1.0,-1.0
348,percentile10Entropy <= 2.62,0.2537,0.5670865826834633,-1.0,-1.0,-1.0
349,percentile25Entropy > 2.66,0.4899,0.6105515587529976,1.0,1.0,1.0
350,medianEntropy > 2.68,0.4967,0.5941162951045736,1.0,1.0,1.0
351,percentile10Entropy > 2.66,0.255,0.6458539808391146,1.0,1.0,1.0
352,percentile10Entropy > 2.64,0.4974,0.627578947368421,1.0,1.0,1.0
353,percentile10Entropy > 2.64,0.5039,0.6283159463487332,1.0,1.0,-1.0
354,percentile25Entropy > 2.66,0.5015,0.6088138225587265,1.0,1.0,1.0
355,percentile10Entropy <= 2.62,0.2456,0.5511074984759196,-1.0,-1.0,-1.0
356,percentile10Entropy > 2.64,0.5016,0.6320275364694312,1.0,1.0,1.0
357,rangeEntropy > 0.18 AND percentile25Entropy <= 2.66,0.2151,0.9376146788990826,-1.0,-1.0,1.0
358,percentile10Entropy > 2.66,0.2434,0.6441736957200874,1.0,1.0,1.0
360,percentile10Entropy > 2.66,0.2436,0.6365441906653426,1.0,1.0,1.0
361,percentile10Entropy > 2.66,0.2447,0.6342483184875477,1.0,1.0,1.0
362,percentile10Entropy > 2.66,0.2497,0.6337196091797319,1.0,1.0,1.0
363,percentile10Entropy <= 2.64 AND medianEntropy <= 2.68,0.4678,0.901978021978022,-1.0,-1.0,1.0
364,percentile25Entropy <= 2.63,0.2492,0.5447716346153846,-1.0,-1.0,-1.0
365,percentile25Entropy <= 2.63,0.2447,0.5376462353764624,-1.0,-1.0,-1.0
366,percentile25Entropy > 2.67,0.2448,0.6244508407816998,1.0,1.0,1.0
367,skewnessEntropy > 0.20,0.2434,0.5308401506297883,-1.0,-1.0,-1.0
368,percentile25Entropy > 2.66,0.5082,0.6112518330889215,1.0,1.0,1.0
369,percentile75Entropy > 2.71,0.2523,0.6097897276801103,1.0,1.0,1.0
370,percentile10Entropy > 2.64,0.5001,0.6079660331581076,1.0,1.0,1.0
371,medianEntropy > 2.68,0.4952,0.5960734411925105,1.0,1.0,1.0
372,percentile10Entropy > 2.64,0.495,0.6243052046488126,1.0,1.0,-1.0
373,percentile10Entropy > 2.66,0.2488,0.640230469411964,1.0,1.0,1.0
374,percentile10Entropy > 2.66,0.2479,0.6419250974411117,1.0,1.0,1.0
375,medianEntropy > 2.68,0.5008,0.5965403459654035,1.0,1.0,1.0
377,percentile10Entropy <= 2.62,0.2531,0.5517703349282297,-1.0,-1.0,-1.0
378,percentile25Entropy > 2.67,0.2513,0.6385224274406333,1.0,1.0,1.0
379,percentile10Entropy <= 2.62,0.2512,0.5369422092172641,-1.0,-1.0,-1.0
380,percentile10Entropy > 2.64,0.5014,0.6060862214708369,1.0,1.0,-1.0
381,skewnessEntropy <= -0.18,0.2511,0.6134502923976608,1.0,1.0,-1.0
382,percentile10Entropy > 2.66,0.25,0.6431875839426952,1.0,1.0,1.0
383,percentile25Entropy <= 2.63,0.2565,0.5331299779698356,-1.0,-1.0,-1.0
384,percentile10Entropy <= 2.62,0.2529,0.5626874625074985,-1.0,-1.0,-1.0
385,percentile10Entropy > 2.66,0.2548,0.6535985956699825,1.0,1.0,1.0
386,percentile10Entropy <= 2.62,0.2469,0.5587774294670846,-1.0,-1.0,-1.0
387,percentile10Entropy <= 2.62,0.2494,0.5402214022140222,-1.0,-1.0,-1.0
388,percentile10Entropy <= 2.62,0.2465,0.5476190476190477,-1.0,-1.0,-1.0
389,percentile10Entropy > 2.64,0.503,0.6225490196078431,1.0,1.0,1.0
390,percentile10Entropy <= 2.62,0.2484,0.5627943485086342,-1.0,-1.0,1.0
391,percentile10Entropy > 2.66,0.2473,0.6427298192004074,1.0,1.0,1.0
392,medianEntropy > 2.68,0.4937,0.6019996154585656,1.0,1.0,1.0
393,percentile25Entropy <= 2.63,0.2554,0.5284631511046606,-1.0,-1.0,-1.0
394,skewnessEntropy > 0.20,0.243,0.5304115980669888,-1.0,-1.0,-1.0
395,percentile10Entropy <= 2.64 AND medianEntropy <= 2.68,0.4666,0.9028305872412337,-1.0,-1.0,-1.0
396,skewnessEntropy <= -0.18,0.2429,0.6108043575585733,1.0,1.0,1.0
397,percentile25Entropy <= 2.63,0.2485,0.539665833442968,-1.0,-1.0,-1.0
398,percentile10Entropy > 2.66,0.2532,0.6429108687476495,1.0,1.0,1.0
399,skewnessEntropy > 0.20,0.2475,0.5151515151515151,-1.0,-1.0,1.0
400,percentile10Entropy > 2.66,0.2466,0.6322020520915549,1.0,1.0,1.0
401,percentile10Entropy <= 2.62,0.2458,0.5547714022706351,-1.0,-1.0,-1.0
402,percentile10Entropy > 2.66,0.2492,0.6424447260949162,1.0,1.0,-1.0
404,meanEntropy <= 2.66,0.2525,0.5281429052915403,-1.0,-1.0,1.0
405,percentile10Entropy <= 2.62,0.2453,0.5515353487264937,-1.0,-1.0,-1.0
406,percentile10Entropy <= 2.64,0.5042,0.501158626500948,-1.0,-1.0,-1.0
407,percentile10Entropy > 2.64,0.5029,0.6165734079403145,1.0,1.0,1.0
408,percentile10Entropy > 2.66,0.2458,0.6498579545454546,1.0,1.0,1.0
409,percentile10Entropy <= 2.62,0.2404,0.5447389558232931,-1.0,-1.0,-1.0
410,percentile10Entropy <= 2.62,0.2478,0.559797428905337,-1.0,-1.0,-1.0
411,percentile10Entropy > 2.64,0.5034,0.6183969338443592,1.0,1.0,1.0
412,skewnessEntropy <= -0.18,0.2476,0.6094724900737379,1.0,1.0,-1.0
413,skewnessEntropy <= -0.18,0.2556,0.6005229964620827,1.0,1.0,-1.0
414,percentile25Entropy <= 2.63,0.2452,0.535574554412404,-1.0,-1.0,-1.0
415,percentile10Entropy <= 2.64,0.4947,0.5006307442782484,-1.0,-1.0,-1.0
416,percentile25Entropy <= 2.63,0.2466,0.5317491234904558,-1.0,-1.0,-1.0
417,percentile10Entropy > 2.64,0.4995,0.609896627690222,1.0,1.0,1.0
419,skewnessEntropy > 0.20,0.2535,0.5364532703791141,-1.0,-1.0,-1.0
420,percentile10Entropy > 2.66,0.2541,0.6374364858219964,1.0,1.0,1.0
421,percentile10Entropy <= 2.62,0.2554,0.5573234200743494,-1.0,-1.0,-1.0
422,skewnessEntropy > 0.01,0.5007,0.5121703853955375,-1.0,-1.0,-1.0
423,skewnessEntropy <= -0.18,0.2461,0.6021372790793259,1.0,1.0,-1.0
424,percentile75Entropy > 2.69,0.5008,0.5973404255319149,1.0,1.0,1.0
425,percentile10Entropy <= 2.62,0.2537,0.559748427672956,-1.0,-1.0,-1.0
426,percentile10Entropy <= 2.62,0.2482,0.5584103278066067,-1.0,-1.0,-1.0
427,percentile10Entropy <= 2.62,0.2547,0.5681459393088931,-1.0,-1.0,-1.0
428,percentile10Entropy <= 2.62,0.2519,0.5564325177584846,-1.0,-1.0,-1.0
429,percentile10Entropy > 2.66,0.2518,0.6555509527754764,1.0,1.0,1.0
430,percentile10Entropy > 2.64,0.4985,0.6072308956450287,1.0,1.0,-1.0
431,percentile10Entropy <= 2.62,0.2549,0.5536995647570874,-1.0,-1.0,-1.0
432,skewnessEntropy <= -0.18,0.2489,0.6002726962845131,1.0,1.0,-1.0
433,percentile10Entropy <= 2.62,0.2527,0.5581835383159887,-1.0,-1.0,-1.0
434,percentile10Entropy <= 2.64,0.4966,0.5039500275583318,-1.0,-1.0,-1.0
435,medianEntropy <= 2.68 AND percentile25Entropy <= 2.66,0.4733,0.8982157339821574,-1.0,-1.0,-1.0
436,percentile10Entropy <= 2.62,0.2532,0.5537624319759805,-1.0,-1.0,-1.0
437,percentile10Entropy <= 2.62,0.2477,0.5484734868773433,-1.0,-1.0,-1.0
438,percentile25Entropy > 2.66,0.4977,0.6020583190394511,1.0,1.0,1.0
439,percentile25Entropy <= 2.63,0.2509,0.5366206231930614,-1.0,-1.0,-1.0
440,percentile10Entropy <= 2.62,0.2422,0.5598309944167799,-1.0,-1.0,-1.0
441,percentile25Entropy > 2.67,0.2476,0.6284935241990457,1.0,1.0,1.0
442,percentile10Entropy > 2.66,0.2526,0.6351417800360597,1.0,1.0,1.0
443,meanEntropy > 2.69,0.2435,0.6420433664094083,1.0,1.0,1.0
444,percentile10Entropy > 2.64,0.5013,0.6105557776889244,1.0,1.0,1.0
445,skewnessEntropy > 0.20,0.2512,0.5327519772865544,-1.0,-1.0,1.0
446,percentile75Entropy <= 2.67,0.2579,0.5157204755027219,-1.0,-1.0,-1.0
449,percentile25Entropy > 2.67,0.2634,0.6419932268988873,1.0,1.0,1.0
450,percentile25Entropy > 2.67,0.2485,0.6369741958289148,1.0,1.0,1.0
451,percentile10Entropy > 2.66,0.2443,0.6411221347930208,1.0,1.0,1.0
452,skewnessEntropy <= 0.01,0.4902,0.589112839231868,1.0,1.0,1.0
454,percentile10Entropy > 2.64,0.5069,0.6086956521739131,1.0,1.0,1.0
455,percentile75Entropy <= 2.67,0.252,0.5148196643256755,-1.0,-1.0,-1.0
456,percentile10Entropy <= 2.62,0.2501,0.5504082652891185,-1.0,-1.0,-1.0
457,skewnessEntropy > 0.20,0.2439,0.5268282577170085,-1.0,-1.0,1.0
458,percentile25Entropy <= 2.66 AND meanEntropy <= 2.68,0.4789,0.8921220723917672,-1.0,-1.0,-1.0
459,percentile10Entropy > 2.66,0.2456,0.6601618277010948,1.0,1.0,1.0
460,percentile10Entropy > 2.64,0.5033,0.6086222568497598,1.0,1.0,1.0
461,percentile10Entropy <= 2.62,0.2539,0.5446737597743879,-1.0,-1.0,-1.0
462,skewnessEntropy > 0.01 AND percentile10Entropy <= 2.64,0.2575,0.9251677852348993,-1.0,-1.0,-1.0
463,skewnessEntropy <= -0.18,0.2524,0.5979296553346665,1.0,1.0,1.0
464,percentile10Entropy <= 2.62,0.2562,0.5543550531914894,-1.0,-1.0,-1.0
465,skewnessEntropy > 0.20,0.2541,0.5241561879549967,-1.0,-1.0,1.0
466,percentile10Entropy > 2.66,0.2569,0.6466929297117976,1.0,1.0,1.0
467,rangeEntropy > 0.18 AND percentile90Entropy <= 2.70,0.1078,0.9681728880157171,-1.0,-1.0,-1.0
