SafetyMargin,Eta,Tau,NumberOfCollisions,NumberOfDeadlocks,meanEntropy,medianEntropy,stdsEntropy,iqrsEntropy
0.01305899117141962,0.8231103420257568,0.8233742117881775,45,0,2.649273,2.6525,0.029093744877550568,0.0365000000000002
0.2805827558040619,0.8466624021530151,0.678754985332489,0,16,2.7602796,2.7624500000000003,0.029889214506908676,0.03342500000000026
0.18161974847316742,0.4201829731464386,0.19393332302570343,0,4,2.74553115,2.74825,0.024079739506014185,0.03180000000000005
0.4858279526233673,0.09310828149318695,0.6950694918632507,0,20,2.8124143854748604,2.8064,0.029259741772422354,0.05295000000000005
0.1667061299085617,0.9841918349266052,0.09594022482633591,0,0,2.7488173000000002,2.7475,0.020995304968254216,0.03200000000000003
0.11523854732513428,0.08734963834285736,0.6119412779808044,0,0,2.7067731,2.70815,0.0212544589766477,0.02852499999999969
0.22560295462608337,0.3651055693626404,0.8334213495254517,0,0,2.75291555,2.75465,0.01731916693139425,0.02312499999999984
0.07893528789281845,0.9240351319313049,0.8046168088912964,0,0,2.6885408500000003,2.68665,0.025891878191384648,0.03905000000000003
0.0934729054570198,0.300873339176178,0.774651288986206,0,0,2.7004474,2.6994,0.021499014471365895,0.02782499999999999
0.09067486971616745,0.8244694471359253,0.8624314069747925,0,0,2.6877885999999998,2.68705,0.02971502044488612,0.042224999999999735
0.24455375969409943,0.03375471010804176,0.5423009395599365,0,8,2.7445047,2.745,0.027466570006282186,0.03952499999999981
0.19812394678592682,0.553941011428833,0.4860256016254425,0,0,2.74409385,2.74575,0.02296354104177968,0.0315249999999998
0.28354907035827637,0.3790985345840454,0.7718708515167236,0,14,2.7494847,2.7535499999999997,0.024951542555721885,0.031225000000000058
0.015701361000537872,0.21864505112171173,0.869204044342041,187,0,2.6387979500000003,2.638,0.036422197089103506,0.04654999999999987
0.06684978306293488,0.15428757667541504,0.1954023391008377,0,0,2.6867595499999997,2.6871,0.026894613750665767,0.03584999999999994
0.4294283092021942,0.5458514094352722,0.7514240145683289,0,19,2.7856936,2.7915,0.018410034466018785,0.015899999999999803
0.021680522710084915,0.25937145948410034,0.4045003652572632,20,0,2.6422841500000005,2.6420500000000002,0.02822315881997442,0.038200000000000234
0.40453386306762695,0.2962491512298584,0.40157872438430786,0,20,2.764742105263158,2.7717,0.01918154771787682,0.02265000000000006
0.4362131357192993,0.9274805188179016,0.6576529145240784,0,13,2.79851145,2.7992,0.012724832961477334,0.017599999999999838
0.19329965114593506,0.18557527661323547,0.759119987487793,0,0,2.74284105,2.7424,0.021962748004234353,0.03272499999999967
0.342171311378479,0.10673820227384567,0.9975122809410095,0,19,2.7603063000000003,2.762,0.026547795394533235,0.04090000000000016
0.26931047439575195,0.6426899433135986,0.3053188621997833,0,16,2.7611514,2.7625,0.023469849552990314,0.030200000000000227
0.39227381348609924,0.20220229029655457,0.42059633135795593,0,17,2.7719884,2.77055,0.033570574547362154,0.05422500000000019
0.03298211470246315,0.5689402222633362,0.7122250199317932,8,0,2.6461134499999996,2.6496,0.03606234094034247,0.045849999999999724
0.409493625164032,0.3108297884464264,0.5179929733276367,0,19,2.7965527999999997,2.7953,0.026435365557525396,0.03595000000000015
0.32109779119491577,0.919109046459198,0.032365940511226654,0,19,2.8125818499999995,2.8296,0.02704335899213525,0.0268250000000001
0.3404815196990967,0.04818122088909149,0.8873330354690552,0,18,2.76865755,2.7704,0.01912055995512422,0.030024999999999746
0.2340337187051773,0.5006681084632874,0.39942291378974915,0,2,2.7554668500000004,2.7578,0.0236062984408293,0.032649999999999846
0.34970319271087646,0.5219157338142395,0.6761563420295715,0,19,2.7640968000000004,2.7664,0.025121967473906173,0.023399999999999643
0.1704244315624237,0.3554191291332245,0.479583203792572,0,0,2.7410332,2.74055,0.020711850418540585,0.0279250000000002
0.3196153938770294,0.2752256691455841,0.08801375329494476,0,19,2.79198045,2.8016,0.0307472075609721,0.018299999999999983
0.3418937921524048,0.25704243779182434,0.5656574964523315,0,20,2.7725270687237025,2.7742,0.02765771978377165,0.04157499999999992
0.18512116372585297,0.04604099318385124,0.5600804686546326,0,0,2.7419185500000003,2.7436,0.024724311535359277,0.031625000000000014
0.25447654724121094,0.6203737854957581,0.9000313878059387,0,15,2.734171,2.7355,0.0351032709159702,0.04630000000000001
0.10354655236005783,0.2026069462299347,0.9930710196495056,4,0,2.6913371500000003,2.6919,0.025059903329372604,0.034825000000000106
0.4774506986141205,0.6562641859054565,0.9097386002540588,0,19,2.79342635,2.8013500000000002,0.027375536171507214,0.04537499999999994
0.25357484817504883,0.6475510597229004,0.6081786751747131,0,15,2.7432556999999997,2.74155,0.03203298265085535,0.052424999999999944
