SafetyMargin,Eta,Tau,y_true,y_conformal
0.0333387441933155,0.4041988253593445,0.0502665191888809,1.0,1.0
0.0491911694407463,0.3209357559680938,0.8601906299591064,-1.0,-1.0
0.0249307975172996,0.7147517204284668,0.7719534635543823,-1.0,-1.0
0.0709963515400886,0.6024026870727539,0.0014371341094374,1.0,1.0
0.0931713506579399,0.8352901935577393,0.6664355993270874,1.0,1.0
0.0194310825318098,0.9975629448890686,0.4686422646045685,1.0,1.0
0.0192162189632654,0.2801205813884735,0.816956102848053,-1.0,-1.0
0.0457940213382244,0.8343389630317688,0.3086215853691101,1.0,1.0
0.0914028659462928,0.8098694086074829,0.949012041091919,1.0,-1.0
0.0815064013004303,0.0708028823137283,0.1466315239667892,1.0,1.0
0.0978723987936973,0.9492515325546264,0.4251821339130401,1.0,1.0
0.0134787950664758,0.1499308943748474,0.62608402967453,-1.0,-1.0
0.0146364523097872,0.7948433756828308,0.1604057997465133,1.0,1.0
0.0696408674120903,0.6080370545387268,0.6583715677261353,1.0,-1.0
0.0382286608219146,0.938917338848114,0.1776548326015472,1.0,1.0
0.0113329673185944,0.2146582603454589,0.0159209165722131,-1.0,1.0
0.0821247920393943,0.9810356497764589,0.7190873026847839,1.0,1.0
0.0783278495073318,0.9419212937355042,0.6548959016799927,1.0,1.0
0.0606412179768085,0.4275959432125091,0.3135408461093902,1.0,1.0
0.0723281279206276,0.5371698141098022,0.3183284699916839,1.0,1.0
0.0807122513651847,0.7307009100914001,0.8542585372924805,-1.0,-1.0
0.0015393857611343,0.5004881024360657,0.8968750834465027,-1.0,-1.0
0.0771734490990638,0.9537777304649352,0.4865442216396332,1.0,1.0
0.0708655565977096,0.0237030293792486,0.3076396286487579,1.0,-1.0
0.0346750728785991,0.051659170538187,0.9065268635749816,-1.0,-1.0
0.0665691941976547,0.4880332946777344,0.7509779334068298,-1.0,-1.0
0.0129853328689932,0.8763992190361023,0.8855950832366943,-1.0,-1.0
0.0788366422057151,0.8701041340827942,0.4871689677238464,1.0,1.0
0.0562345683574676,0.906362235546112,0.2358980923891067,1.0,1.0
