meanEntropy,medianEntropy,stdsEntropy,iqrsEntropy,y_true,y_conformal
2.649932,2.6471,0.0340324719349035,0.0416249999999998,-1.0,-1.0
2.6946626,2.6955,0.0246373564174405,0.0360249999999999,1.0,1.0
2.6939925,2.69215,0.0250555256131257,0.03125,-1.0,1.0
2.6693598,2.67185,0.0269588144019725,0.03655,-1.0,1.0
2.6366405,2.634,0.040385020239564,0.0390000000000001,-1.0,-1.0
2.6484546,2.6494,0.0297246150326627,0.0478999999999998,-1.0,-1.0
2.71025185,2.71185,0.0243875006217836,0.0299999999999998,1.0,1.0
2.6956746000000003,2.69535,0.0290950005128028,0.0405250000000001,1.0,1.0
2.6578794500000003,2.6556,0.0281994534113251,0.0383249999999999,1.0,-1.0
2.62944955,2.6281,0.0451021745573037,0.0614250000000002,-1.0,-1.0
2.6342771000000003,2.6335,0.0348542965154943,0.0457,-1.0,-1.0
