NumberOfCollisions,meanEntropy,medianEntropy,stdsEntropy,iqrsEntropy
3,2.66955545,2.67005,0.0267066111720955,0.0346249999999996
0,2.7035691,2.70245,0.0302090073519471,0.0403749999999996
25,2.645672,2.6444,0.0262265463986396,0.0383
0,2.68562515,2.6811,0.0292568821386951,0.0444999999999997
0,2.7203616000000004,2.7204,0.02122258244041,0.0257
26,2.65170285,2.6516,0.0284406759216003,0.0377249999999995
0,2.69580795,2.69395,0.0226631002247596,0.0288249999999998
38,2.6474746,2.644,0.0284309277871827,0.0381499999999999
0,2.7032146000000004,2.7024,0.0302018985635009,0.0407249999999996
0,2.69055185,2.6916,0.0250290946016331,0.037125
1,2.6531121,2.65555,0.0292084484967962,0.0397000000000002
130,2.6474155,2.6481,0.0355816650783799,0.0498500000000001
0,2.6915569500000003,2.69545,0.0359047420502849,0.0426250000000001
13,2.6422913500000003,2.641,0.0353479652904873,0.0542000000000002
38,2.6467909,2.6463,0.0354292440956619,0.0494750000000001
208,2.62643585,2.6228,0.0356047107807028,0.0440249999999999
15,2.6485326,2.65105,0.0414017514996648,0.0547999999999997
36,2.641745,2.63575,0.0389998640382245,0.057725
0,2.7023510500000003,2.7018500000000003,0.0267129094053324,0.0377
0,2.6728013500000003,2.6777,0.0351091122527685,0.0555000000000003
0,2.67146345,2.6708,0.0292376768758651,0.0343499999999998
0,2.6989808,2.6989,0.02655125781126,0.0378250000000002
12,2.67223005,2.6731,0.027585265305911,0.0318249999999999
0,2.6959137,2.6966,0.0197774571750263,0.022825
0,2.6714862,2.6741,0.0357830693144118,0.05105
0,2.6706372000000003,2.6744,0.0312687215306286,0.0399250000000002
77,2.6527982000000003,2.6537,0.0341271981967462,0.0512499999999995
0,2.68117715,2.68175,0.0318602167738623,0.036
0,2.6957904,2.6964,0.0281998559897032,0.0357000000000002
0,2.69199385,2.69,0.0296265655650043,0.0343499999999998
63,2.6291613,2.6286,0.0378720150283821,0.0561249999999997
0,2.6881305,2.69,0.0338812594180027,0.0480749999999998
0,2.7001016,2.6994,0.0234528726905682,0.0303249999999999
