Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
602,SafetyMargin > 0.05,0.4974,0.731974921630094,1.0,1.0,-1.0
603,Tau <= 0.25,0.2542,0.8478802992518704,1.0,1.0,-1.0
604,Tau <= 0.25,0.2552,0.8715890850722311,1.0,1.0,1.0
605,Eta <= 0.25,0.2503,0.7502270663033606,-1.0,-1.0,-1.0
607,Tau > 0.75,0.252,0.8527315914489311,-1.0,-1.0,-1.0
608,SafetyMargin > 0.08,0.2488,0.8102108768035516,1.0,1.0,1.0
609,SafetyMargin <= 0.05,0.5024,0.7540353574173713,-1.0,-1.0,-1.0
610,SafetyMargin > 0.08,0.246,0.8151658767772512,1.0,1.0,-1.0
611,Tau <= 0.25,0.2505,0.8410174880763116,1.0,1.0,1.0
612,Tau <= 0.25,0.2481,0.8528678304239401,1.0,1.0,1.0
613,Tau <= 0.25,0.2479,0.8484848484848485,1.0,1.0,1.0
614,SafetyMargin > 0.08,0.2537,0.8236272878535774,1.0,1.0,-1.0
615,SafetyMargin <= 0.02,0.2558,0.8423153692614771,-1.0,-1.0,-1.0
616,Eta > 0.74,0.2574,0.6887009992313605,1.0,1.0,1.0
617,Tau <= 0.25,0.2556,0.8696682464454977,1.0,1.0,1.0
618,Eta > 0.74,0.2537,0.6803900325027086,1.0,1.0,1.0
619,Tau <= 0.25,0.2528,0.8488372093023255,1.0,1.0,1.0
620,SafetyMargin <= 0.02,0.2465,0.8359486447931527,-1.0,-1.0,-1.0
621,Tau <= 0.25,0.2508,0.8440366972477065,1.0,1.0,1.0
622,SafetyMargin > 0.08,0.2529,0.8352745424292846,1.0,1.0,1.0
623,Tau <= 0.51,0.4988,0.7523474178403756,1.0,1.0,1.0
624,SafetyMargin <= 0.02,0.2542,0.8333333333333334,-1.0,-1.0,-1.0
625,Tau <= 0.25,0.251,0.89375,1.0,1.0,1.0
626,Tau <= 0.51,0.5043,0.7443796835970025,1.0,1.0,1.0
627,Tau > 0.75,0.2531,0.8369384359400999,-1.0,-1.0,-1.0
628,SafetyMargin > 0.05,0.4984,0.7442489851150202,1.0,1.0,1.0
629,Tau <= 0.25,0.2546,0.8814531548757171,1.0,1.0,1.0
630,Tau > 0.75,0.258,0.8674418604651163,-1.0,-1.0,-1.0
631,Tau > 0.75,0.2436,0.8045649072753209,-1.0,-1.0,-1.0
632,Tau <= 0.25,0.2448,0.8776758409785933,1.0,1.0,1.0
633,SafetyMargin <= 0.02,0.2519,0.8352745424292846,-1.0,-1.0,-1.0
634,Tau <= 0.25,0.2512,0.8634850166481687,1.0,1.0,1.0
635,SafetyMargin > 0.08,0.2426,0.8531468531468531,1.0,1.0,1.0
636,SafetyMargin <= 0.02,0.2538,0.8802992518703242,-1.0,-1.0,-1.0
637,Tau > 0.51,0.5014,0.738388625592417,-1.0,-1.0,-1.0
638,Tau > 0.75,0.2485,0.8473609129814551,-1.0,-1.0,-1.0
639,Tau > 0.75,0.2545,0.8226837060702875,-1.0,-1.0,-1.0
640,SafetyMargin > 0.08,0.2565,0.8473609129814551,1.0,1.0,1.0
641,SafetyMargin > 0.08,0.2428,0.831946755407654,1.0,1.0,1.0
642,Tau > 0.75,0.2531,0.8387096774193549,-1.0,-1.0,1.0
643,SafetyMargin > 0.05,0.4997,0.7310704960835509,1.0,1.0,1.0
644,Tau <= 0.25,0.2488,0.8870431893687708,1.0,1.0,1.0
645,Tau > 0.75,0.2506,0.8430813124108416,-1.0,-1.0,1.0
646,SafetyMargin <= 0.02,0.2524,0.8289637952559301,-1.0,-1.0,-1.0
647,SafetyMargin > 0.05,0.4935,0.7226596675415573,1.0,1.0,1.0
648,SafetyMargin > 0.08,0.2534,0.8668730650154799,1.0,1.0,1.0
649,SafetyMargin <= 0.02,0.25,0.8072289156626506,-1.0,-1.0,-1.0
650,SafetyMargin > 0.08,0.2399,0.8352,1.0,1.0,1.0
651,Tau <= 0.51,0.4992,0.7345309381237525,1.0,1.0,1.0
652,SafetyMargin <= 0.02,0.2506,0.8393351800554016,-1.0,-1.0,-1.0
653,SafetyMargin <= 0.02,0.2436,0.8190591073582629,-1.0,-1.0,-1.0
654,SafetyMargin <= 0.02,0.2471,0.831946755407654,-1.0,-1.0,-1.0
655,SafetyMargin <= 0.05,0.4958,0.7328897338403042,-1.0,-1.0,-1.0
656,Tau <= 0.25,0.25,0.8783783783783784,1.0,1.0,-1.0
657,Tau > 0.51,0.4964,0.7262737262737263,-1.0,-1.0,1.0
658,Tau <= 0.51,0.5014,0.7426294820717132,1.0,1.0,1.0
659,Tau > 0.51,0.5126,0.7259752616555661,-1.0,-1.0,-1.0
660,SafetyMargin <= 0.02,0.2465,0.8680981595092024,-1.0,-1.0,-1.0
661,Tau <= 0.25,0.2505,0.8682634730538922,1.0,1.0,1.0
662,SafetyMargin > 0.08,0.2444,0.8278301886792453,1.0,1.0,1.0
663,Tau > 0.51,0.4942,0.7549361207897793,-1.0,-1.0,-1.0
664,Eta <= 0.25,0.2558,0.7265877287405813,-1.0,-1.0,1.0
665,SafetyMargin > 0.08,0.2483,0.819047619047619,1.0,1.0,1.0
666,Tau <= 0.25,0.2505,0.8794326241134752,1.0,1.0,1.0
667,SafetyMargin > 0.08,0.2505,0.8487874465049928,1.0,1.0,1.0
668,Tau > 0.51,0.507,0.7383561643835617,-1.0,-1.0,-1.0
669,SafetyMargin > 0.08,0.2535,0.8409090909090909,1.0,1.0,1.0
670,Tau <= 0.51,0.4941,0.738045738045738,1.0,1.0,1.0
671,SafetyMargin <= 0.02,0.2473,0.8635294117647059,-1.0,-1.0,-1.0
