Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
181,Tau > 0.75,0.2466,0.8181818181818182,-1.0,-1.0,-1.0
182,Tau > 0.75,0.2507,0.8368794326241135,-1.0,-1.0,-1.0
183,Tau <= 0.51,0.4998,0.7780244173140954,1.0,1.0,1.0
184,Tau <= 0.25,0.2472,0.9003322259136213,1.0,1.0,1.0
185,SafetyMargin > 0.08,0.2507,0.8562874251497006,1.0,1.0,1.0
186,Eta > 0.74,0.2548,0.6963123644251626,1.0,1.0,-1.0
187,SafetyMargin <= 0.02,0.2561,0.8223552894211577,-1.0,-1.0,-1.0
188,SafetyMargin <= 0.05,0.4934,0.6963873943120676,-1.0,-1.0,-1.0
189,SafetyMargin > 0.08,0.2465,0.8593272171253823,1.0,1.0,1.0
190,Tau > 0.75,0.2513,0.8092485549132948,-1.0,-1.0,-1.0
191,SafetyMargin <= 0.02,0.2533,0.8005540166204986,-1.0,-1.0,-1.0
192,Tau <= 0.51,0.4972,0.7747502270663034,1.0,1.0,1.0
193,Tau > 0.75,0.2581,0.8457869634340223,-1.0,-1.0,-1.0
194,Tau > 0.51,0.5005,0.7417974322396577,-1.0,-1.0,1.0
195,Tau <= 0.25,0.2521,0.8919753086419753,1.0,1.0,1.0
196,Tau > 0.75,0.2465,0.8119800332778702,-1.0,-1.0,-1.0
197,Tau <= 0.25,0.2547,0.8868778280542986,1.0,1.0,-1.0
198,Tau > 0.51,0.5001,0.718625099920064,-1.0,-1.0,1.0
199,Tau <= 0.25,0.2418,0.8926342072409488,1.0,1.0,1.0
200,Tau <= 0.25,0.2543,0.885286783042394,1.0,1.0,1.0
201,Tau <= 0.25,0.2495,0.9027431421446384,1.0,1.0,1.0
202,Eta <= 0.25,0.2545,0.6973026973026973,-1.0,-1.0,-1.0
203,Eta <= 0.25,0.2523,0.7141905396402398,-1.0,-1.0,1.0
204,SafetyMargin <= 0.02,0.2403,0.8036605657237936,-1.0,-1.0,-1.0
205,Tau <= 0.25,0.2507,0.9006211180124224,1.0,1.0,1.0
207,Tau <= 0.51,0.4964,0.7703549060542797,1.0,1.0,1.0
208,SafetyMargin > 0.08,0.2506,0.8430813124108416,1.0,1.0,1.0
209,Tau <= 0.51,0.5109,0.768664563617245,1.0,1.0,-1.0
210,Tau > 0.75,0.2517,0.8284789644012945,-1.0,-1.0,-1.0
211,Tau > 0.51,0.4925,0.7222963951935915,-1.0,-1.0,-1.0
212,SafetyMargin > 0.05,0.4968,0.7505285412262156,1.0,1.0,1.0
213,SafetyMargin <= 0.02,0.2522,0.7983651226158038,-1.0,-1.0,-1.0
214,Tau <= 0.51,0.5065,0.7540983606557377,1.0,1.0,-1.0
215,Tau <= 0.25,0.25,0.8744650499286734,1.0,1.0,1.0
216,SafetyMargin > 0.08,0.2449,0.8747099767981439,1.0,1.0,1.0
217,SafetyMargin <= 0.05,0.498,0.7156521739130435,-1.0,-1.0,-1.0
218,Tau <= 0.51,0.5006,0.7760910815939279,1.0,1.0,1.0
219,Eta <= 0.25,0.2569,0.6960257787325457,-1.0,-1.0,-1.0
220,SafetyMargin > 0.05,0.4926,0.7593097184377838,1.0,1.0,1.0
221,SafetyMargin > 0.05,0.5048,0.765195670274771,1.0,1.0,-1.0
222,Eta <= 0.25,0.2521,0.6871938418474458,-1.0,-1.0,-1.0
223,SafetyMargin > 0.08,0.2558,0.8452579034941764,1.0,1.0,1.0
225,Eta > 0.74,0.2456,0.6887287024901704,1.0,1.0,1.0
226,Tau > 0.75,0.2436,0.8728179551122195,-1.0,-1.0,-1.0
227,SafetyMargin > 0.08,0.2477,0.8885448916408669,1.0,1.0,1.0
228,Tau > 0.75,0.2527,0.8276515151515151,-1.0,-1.0,1.0
229,Tau <= 0.25,0.2416,0.9301745635910225,1.0,1.0,-1.0
230,SafetyMargin > 0.05,0.506,0.7595712098009189,1.0,1.0,1.0
231,Tau > 0.75,0.2476,0.8076923076923077,-1.0,-1.0,1.0
232,Tau > 0.75,0.2579,0.8186356073211315,-1.0,-1.0,-1.0
233,SafetyMargin <= 0.02,0.2529,0.8091908091908092,-1.0,-1.0,-1.0
234,Tau > 0.51,0.5045,0.7202152190622598,-1.0,-1.0,-1.0
235,Eta <= 0.25,0.2499,0.6894409937888198,-1.0,-1.0,-1.0
236,Tau > 0.75,0.2522,0.815112540192926,-1.0,-1.0,-1.0
237,SafetyMargin <= 0.02,0.2474,0.830423940149626,-1.0,-1.0,-1.0
238,SafetyMargin > 0.05,0.5039,0.734475374732334,1.0,1.0,-1.0
239,SafetyMargin > 0.08,0.2558,0.844311377245509,1.0,1.0,-1.0
240,Tau > 0.75,0.2466,0.8254364089775561,-1.0,-1.0,-1.0
241,Tau > 0.75,0.2511,0.868995633187773,-1.0,-1.0,1.0
242,Tau <= 0.51,0.5038,0.743142144638404,1.0,1.0,1.0
243,Tau <= 0.51,0.4981,0.7937915742793792,1.0,1.0,1.0
244,Tau > 0.51,0.4994,0.7020109689213894,-1.0,-1.0,1.0
245,Tau <= 0.25,0.2526,0.9070796460176991,1.0,1.0,1.0
246,SafetyMargin > 0.05,0.5048,0.7747502270663034,1.0,1.0,1.0
247,Tau <= 0.25,0.2455,0.8648648648648649,1.0,1.0,1.0
248,Tau <= 0.51,0.5048,0.7560627674750356,1.0,1.0,1.0
249,SafetyMargin > 0.08,0.2565,0.8602794411177644,1.0,1.0,1.0
250,Tau <= 0.51,0.5039,0.7653301886792453,1.0,1.0,1.0
251,Tau > 0.51,0.5027,0.717852684144819,-1.0,-1.0,-1.0
252,SafetyMargin > 0.05,0.4971,0.7497621313035204,1.0,1.0,1.0
253,Tau <= 0.25,0.2497,0.893687707641196,1.0,1.0,1.0
254,Eta > 0.50,0.5018,0.6579554189085319,1.0,1.0,1.0
255,SafetyMargin > 0.08,0.2543,0.8585690515806988,1.0,1.0,1.0
256,SafetyMargin > 0.08,0.2495,0.8416547788873039,1.0,1.0,-1.0
257,Tau > 0.75,0.2503,0.8349146110056926,-1.0,-1.0,-1.0
258,Tau <= 0.25,0.253,0.8941398865784499,1.0,1.0,1.0
259,Tau <= 0.25,0.2447,0.8902743142144638,1.0,1.0,1.0
260,SafetyMargin <= 0.02,0.2446,0.8013318534961155,-1.0,-1.0,-1.0
261,Tau <= 0.51,0.503,0.7634782608695653,1.0,1.0,1.0
262,Tau <= 0.51,0.5033,0.7578027465667915,1.0,1.0,1.0
263,Tau > 0.75,0.2474,0.8135405105438401,-1.0,-1.0,-1.0
264,SafetyMargin > 0.08,0.2424,0.8603491271820449,1.0,1.0,1.0
265,Tau <= 0.51,0.5007,0.7802441731409545,1.0,1.0,1.0
266,Tau <= 0.51,0.4989,0.8012326656394453,1.0,1.0,1.0
267,SafetyMargin <= 0.05,0.5002,0.7370517928286853,-1.0,-1.0,-1.0
268,SafetyMargin <= 0.05,0.5004,0.7036363636363636,-1.0,-1.0,1.0
269,SafetyMargin > 0.08,0.2483,0.8519134775374376,1.0,1.0,1.0
270,Tau <= 0.25,0.2489,0.9017857142857143,1.0,1.0,1.0
271,Tau > 0.75,0.253,0.8413173652694611,-1.0,-1.0,-1.0
272,Tau > 0.75,0.254,0.8283433133732535,-1.0,-1.0,-1.0
273,Tau <= 0.51,0.4972,0.7920094007050529,1.0,1.0,1.0
274,Tau > 0.75,0.2494,0.8369384359400999,-1.0,-1.0,-1.0
275,Tau <= 0.25,0.2546,0.8922155688622755,1.0,1.0,1.0
276,SafetyMargin <= 0.05,0.5026,0.6951501154734411,-1.0,-1.0,-1.0
277,Tau <= 0.25,0.2511,0.8951747088186356,1.0,1.0,1.0
279,SafetyMargin <= 0.05,0.4959,0.7313746065057712,-1.0,-1.0,1.0
280,Tau <= 0.25,0.2596,0.9173913043478261,1.0,1.0,1.0
281,SafetyMargin > 0.08,0.2447,0.8573717948717948,1.0,1.0,1.0
282,Tau > 0.75,0.2531,0.8106312292358804,-1.0,-1.0,-1.0
283,Tau <= 0.51,0.5067,0.7724750277469479,1.0,1.0,1.0
284,Tau > 0.75,0.2493,0.8532110091743119,-1.0,-1.0,-1.0
285,SafetyMargin <= 0.02,0.2576,0.7840440165061898,-1.0,-1.0,-1.0
286,SafetyMargin <= 0.02,0.2459,0.8066298342541437,-1.0,-1.0,-1.0
287,Tau > 0.75,0.2517,0.8231768231768232,-1.0,-1.0,1.0
288,SafetyMargin > 0.08,0.2519,0.8352059925093633,1.0,1.0,1.0
289,SafetyMargin > 0.08,0.2504,0.8796296296296297,1.0,1.0,1.0
290,Tau > 0.51,0.5093,0.7027027027027027,-1.0,-1.0,-1.0
291,SafetyMargin > 0.05,0.4963,0.76,1.0,1.0,1.0
292,SafetyMargin <= 0.02,0.2405,0.8223552894211577,-1.0,-1.0,-1.0
293,Tau <= 0.25,0.2561,0.885286783042394,1.0,1.0,1.0
294,SafetyMargin <= 0.02,0.2504,0.7758046614872364,-1.0,-1.0,-1.0
295,Eta <= 0.25,0.2481,0.717391304347826,-1.0,-1.0,1.0
296,SafetyMargin > 0.08,0.2521,0.8445078459343794,1.0,1.0,1.0
297,Tau <= 0.25,0.249,0.8842315369261478,1.0,1.0,1.0
298,Tau > 0.51,0.4988,0.729903536977492,-1.0,-1.0,-1.0
299,SafetyMargin <= 0.02,0.2518,0.7995337995337995,-1.0,-1.0,-1.0
300,Tau > 0.75,0.2454,0.8239700374531835,-1.0,-1.0,-1.0
301,SafetyMargin > 0.05,0.4984,0.7283950617283951,1.0,1.0,1.0
302,Eta <= 0.25,0.2489,0.701082431307244,-1.0,-1.0,-1.0
303,Tau <= 0.25,0.2446,0.9030303030303031,1.0,1.0,1.0
304,Tau <= 0.25,0.2493,0.899390243902439,1.0,1.0,1.0
305,Tau > 0.51,0.4937,0.7209098862642169,-1.0,-1.0,-1.0
306,Tau <= 0.25,0.2438,0.9152119700748129,1.0,1.0,1.0
307,SafetyMargin <= 0.02,0.2503,0.8268698060941828,-1.0,-1.0,-1.0
308,Tau <= 0.25,0.2522,0.9136212624584718,1.0,1.0,1.0
309,Tau <= 0.25,0.252,0.8857142857142857,1.0,1.0,1.0
310,SafetyMargin > 0.08,0.2532,0.861244019138756,1.0,1.0,1.0
311,Eta <= 0.25,0.2475,0.7112068965517241,-1.0,-1.0,-1.0
312,Tau > 0.75,0.256,0.819935691318328,-1.0,-1.0,-1.0
313,Tau > 0.75,0.2553,0.8032258064516129,-1.0,-1.0,-1.0
314,SafetyMargin > 0.08,0.247,0.8846153846153846,1.0,1.0,1.0
315,SafetyMargin <= 0.05,0.497,0.7565543071161048,-1.0,-1.0,-1.0
316,Tau > 0.75,0.2444,0.8116343490304709,-1.0,-1.0,-1.0
317,Tau <= 0.25,0.2524,0.8842315369261478,1.0,1.0,1.0
318,Tau > 0.51,0.4995,0.7234782608695652,-1.0,-1.0,-1.0
319,Tau <= 0.25,0.2468,0.893687707641196,1.0,1.0,1.0
320,Eta > 0.50,0.5025,0.6810990840965861,1.0,1.0,1.0
321,SafetyMargin > 0.05,0.4989,0.7518248175182481,1.0,1.0,-1.0
322,Tau > 0.75,0.2622,0.7987878787878788,-1.0,-1.0,-1.0
323,Tau > 0.75,0.2499,0.8343313373253493,-1.0,-1.0,1.0
324,SafetyMargin > 0.08,0.2448,0.8553615960099751,1.0,1.0,1.0
325,Tau <= 0.51,0.4887,0.7655860349127181,1.0,1.0,1.0
326,SafetyMargin > 0.08,0.2476,0.8614232209737828,1.0,1.0,-1.0
327,SafetyMargin > 0.08,0.2403,0.8483033932135728,1.0,1.0,1.0
328,SafetyMargin > 0.08,0.2458,0.8416988416988417,1.0,1.0,1.0
329,SafetyMargin > 0.05,0.5008,0.7518734388009992,1.0,1.0,1.0
330,Tau <= 0.25,0.25,0.9151414309484193,1.0,1.0,-1.0
331,Tau > 0.51,0.5073,0.7669256381798002,-1.0,-1.0,-1.0
332,SafetyMargin > 0.08,0.242,0.8423153692614771,1.0,1.0,1.0
334,Tau <= 0.25,0.2453,0.9041916167664671,1.0,1.0,1.0
