Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
373,y > 2.17,0.7492,0.5749318801089919,-1.0,-1.0,-1.0
374,y > 2.17,0.751,0.5693160813308688,-1.0,-1.0,-1.0
375,y > 2.17,0.7533,0.5721605465414176,-1.0,-1.0,-1.0
377,y > 2.17,0.7534,0.5391014975041597,-1.0,-1.0,-1.0
378,y <= 5.00,0.494,0.8762475049900199,1.0,1.0,1.0
379,y <= 5.00,0.4942,0.8588235294117647,1.0,1.0,1.0
380,y <= 5.00,0.5003,0.8737541528239202,1.0,1.0,1.0
381,y > 2.17,0.7535,0.5532994923857868,-1.0,-1.0,-1.0
382,y > 2.17,0.7491,0.5449700199866756,-1.0,-1.0,-1.0
383,y <= 2.17,0.2546,0.9606986899563319,1.0,1.0,1.0
384,y > 2.17,0.7427,0.5553705245628643,-1.0,-1.0,-1.0
385,y > 5.00,0.4974,0.5548192771084337,-1.0,-1.0,-1.0
386,y > 5.00,0.4962,0.5395503746877602,-1.0,-1.0,-1.0
387,y > 2.17,0.7425,0.5604395604395604,-1.0,-1.0,-1.0
388,y > 2.17,0.7467,0.554140127388535,-1.0,-1.0,-1.0
389,y <= 2.17,0.2466,0.9900990099009901,1.0,1.0,1.0
390,y <= 2.17,0.2523,0.9733333333333334,1.0,1.0,1.0
391,y <= 5.00,0.4984,0.8704318936877077,1.0,1.0,1.0
392,y <= 2.17,0.2524,1.0,1.0,1.0,1.0
393,y > 2.17,0.7454,0.5722273998136067,-1.0,-1.0,-1.0
394,y > 2.17,0.7426,0.5606299212598426,-1.0,-1.0,-1.0
395,y > 2.17,0.7554,0.5645295587010825,-1.0,-1.0,-1.0
396,y > 2.17,0.7496,0.5835411471321695,-1.0,-1.0,-1.0
397,y > 2.17,0.7458,0.5667903525046383,-1.0,-1.0,-1.0
